id,packet_size_avg,packet_size_sum,timestamp
1,64.625,679,2023-07-11 02:10:16.781540096
2,64.625,679,2023-12-29 14:02:30.675546624
3,64.625,679,2023-08-13 15:43:02.220148480
4,64.625,679,2023-06-25 16:27:22.484497920
5,64.625,679,2023-08-24 19:52:51.689292288
6,64.625,679,2023-07-31 01:16:15.503754752
7,64.625,679,2023-03-27 22:14:50.319430656
8,64.625,679,2023-09-26 05:43:14.248073472
9,64.625,679,2023-04-03 20:27:00.831838464
10,64.625,679,2023-11-27 04:00:47.635049216
11,64.625,679,2023-10-10 02:27:03.690144512
12,64.625,679,2023-10-09 11:47:56.149266944
13,64.625,679,2023-08-26 13:59:37.694059776
14,64.625,679,2023-08-11 19:12:52.383700736
15,64.625,679,2023-04-13 08:55:46.021240064
16,64.625,679,2023-09-30 17:35:17.582590208
17,64.625,679,2023-11-29 14:36:58.568469760
18,64.625,679,2023-06-11 07:22:00.025257216
19,64.625,679,2023-07-22 18:33:30.608557568
20,64.625,679,2023-04-13 08:20:23.597529856
21,64.625,679,2023-06-22 06:05:31.598297088
22,64.625,679,2023-05-31 01:40:19.866219776
23,64.625,679,2023-11-15 10:29:12.158112512
24,64.625,679,2023-06-10 13:34:50.959661056
25,64.625,679,2023-03-29 14:56:36.999392768
26,64.625,679,2023-11-01 20:09:02.934135296
27,64.625,679,2023-02-03 12:17:03.418271488
28,64.625,679,2023-11-15 05:49:20.115731712
29,64.625,679,2023-08-10 18:50:34.747369216
30,64.625,679,2023-11-21 13:08:49.302494208
31,64.625,679,2023-10-23 02:11:53.714923008
32,64.625,679,2023-03-17 09:14:18.185377024
33,64.625,679,2023-11-27 14:24:00.585247488
34,64.625,679,2023-01-25 09:46:53.055844096
35,64.625,679,2023-05-07 11:52:07.439195648
36,64.625,679,2023-07-30 14:32:58.243981056
37,64.625,679,2023-04-08 15:27:41.038664960
38,64.625,679,2023-05-11 21:54:46.931620864
39,64.625,679,2023-07-11 01:53:52.512685824
40,64.625,679,2023-12-06 11:23:02.614999296
41,64.625,679,2023-07-10 11:52:38.102776320
42,64.625,679,2023-03-30 19:11:25.420417792
43,64.625,679,2023-10-06 23:31:47.168431872
44,64.625,679,2023-12-05 07:21:48.123507456
45,64.625,679,2023-02-27 06:38:27.014257408
46,64.625,679,2023-08-25 17:27:45.200123648
47,64.625,679,2023-10-17 08:18:41.129017600
48,64.625,679,2023-06-17 02:04:07.008011776
49,64.625,679,2023-03-26 02:09:39.729872896
50,64.625,679,2023-11-14 22:32:15.651926272
51,64.625,679,2023-08-03 09:41:12.723849728
52,64.625,679,2023-02-24 01:36:51.720346368
53,64.625,679,2023-04-08 12:03:36.202824192
54,64.625,679,2023-07-04 10:24:50.366841856
55,64.625,679,2023-04-04 10:53:16.630280448
56,64.625,679,2023-08-01 12:38:50.832763648
57,64.625,679,2023-07-21 05:55:43.209155584
58,64.625,679,2023-09-15 03:09:14.827128320
59,64.625,679,2023-02-01 20:39:42.720741376
60,64.625,679,2023-02-21 20:36:34.366516480
61,64.625,679,2023-07-27 06:07:54.374766592
62,64.625,679,2023-08-25 12:00:29.893180672
63,64.625,679,2023-12-27 10:59:52.733675264
64,64.625,679,2023-01-05 13:57:58.558535680
65,64.625,679,2023-06-27 02:55:12.963147008
66,64.625,679,2023-12-11 00:27:35.803836160
67,64.625,679,2023-04-22 04:09:48.733062912
68,64.625,679,2023-08-23 04:04:22.451173888
